{'0_w_norm': 9.244951248168945, '0_w_mean': -1.5977358998497948e-05, '0_w_std': 0.020636113360524178, '0_w_max': 0.04088909178972244, '0_w_min': -0.039107613265514374, '0_g_norm': 0.3060063421726227, '0_g_mean': 1.1121857824036852e-05, '0_g_std': 0.0006829609628766775, '1_w_norm': 1.8665822744369507, '1_w_mean': 0.0011693040141835809, '1_w_std': 0.036880239844322205, '1_w_max': 0.07670174539089203, '1_w_min': -0.07084587961435318, '1_g_norm': 0.17151664197444916, '1_g_mean': -3.446985058497276e-11, '1_g_std': 0.0033905573654919863}
{'0_w_norm': 9.24594783782959, '0_w_mean': -1.5690140571678057e-05, '0_w_std': 0.020638346672058105, '0_w_max': 0.041174519807100296, '0_w_min': -0.03929365053772926, '0_g_norm': 0.35218968987464905, '0_g_mean': -1.0696006029320415e-05, '0_g_std': 0.0007860668702051044, '1_w_norm': 1.87151038646698, '1_w_mean': 0.001169303897768259, '1_w_std': 0.03697771206498146, '1_w_max': 0.07791464030742645, '1_w_min': -0.07159360498189926, '1_g_norm': 0.2264905571937561, '1_g_mean': -5.4569682106375694e-12, '1_g_std': 0.0044772871769964695}
{'0_w_norm': 9.24709701538086, '0_w_mean': -1.5062258171383291e-05, '0_w_std': 0.020640898495912552, '0_w_max': 0.04151885211467743, '0_w_min': -0.039498258382081985, '0_g_norm': 0.31760382652282715, '0_g_mean': -3.328199795760156e-07, '0_g_std': 0.0007089388091117144, '1_w_norm': 1.8771307468414307, '1_w_mean': 0.0011693040141835809, '1_w_std': 0.037088871002197266, '1_w_max': 0.07936374098062515, '1_w_min': -0.07238021492958069, '1_g_norm': 0.18839916586875916, '1_g_mean': 2.8194334887599037e-12, '1_g_std': 0.0037242930848151445}
{'0_w_norm': 9.248305320739746, '0_w_mean': -1.4568383448931854e-05, '0_w_std': 0.02064361423254013, '0_w_max': 0.04188305512070656, '0_w_min': -0.03974268212914467, '0_g_norm': 0.3468374013900757, '0_g_mean': 2.7813441647595027e-06, '0_g_std': 0.0007741875597275794, '1_w_norm': 1.8830981254577637, '1_w_mean': 0.001169303897768259, '1_w_std': 0.03720689192414284, '1_w_max': 0.08075470477342606, '1_w_min': -0.073313869535923, '1_g_norm': 0.19936110079288483, '1_g_mean': -7.353264525056247e-11, '1_g_std': 0.003940989729017019}
{'0_w_norm': 9.249666213989258, '0_w_mean': -1.3966954611532856e-05, '0_w_std': 0.02064664289355278, '0_w_max': 0.0421360582113266, '0_w_min': -0.039951711893081665, '0_g_norm': 0.4208618402481079, '0_g_mean': -3.974746505264193e-06, '0_g_std': 0.0009394176304340363, '1_w_norm': 1.889731526374817, '1_w_mean': 0.001169303897768259, '1_w_std': 0.03733808919787407, '1_w_max': 0.08292975276708603, '1_w_min': -0.07413159310817719, '1_g_norm': 0.2588421404361725, '1_g_mean': 8.453752975423612e-11, '1_g_std': 0.005116816144436598}
{'0_w_norm': 9.251181602478027, '0_w_mean': -1.3714862689084839e-05, '0_w_std': 0.02065003104507923, '0_w_max': 0.04253562167286873, '0_w_min': -0.040225666016340256, '0_g_norm': 0.4281616806983948, '0_g_mean': 3.0185290142981103e-06, '0_g_std': 0.0009557157172821462, '1_w_norm': 1.8971277475357056, '1_w_mean': 0.001169303897768259, '1_w_std': 0.037484366446733475, '1_w_max': 0.08588086813688278, '1_w_min': -0.0751967579126358, '1_g_norm': 0.28604283928871155, '1_g_mean': 9.949872176173713e-11, '1_g_std': 0.005654522217810154}
{'0_w_norm': 9.252887725830078, '0_w_mean': -1.3276952813612297e-05, '0_w_std': 0.02065383270382881, '0_w_max': 0.04292987659573555, '0_w_min': -0.04054975509643555, '0_g_norm': 0.4223223924636841, '0_g_mean': 6.572569759555336e-07, '0_g_std': 0.0009426861070096493, '1_w_norm': 1.905394196510315, '1_w_mean': 0.0011693041305989027, '1_w_std': 0.037647854536771774, '1_w_max': 0.08952855318784714, '1_w_min': -0.07620406895875931, '1_g_norm': 0.27868232131004333, '1_g_mean': -1.2014425565531894e-10, '1_g_std': 0.005509018898010254}
{'0_w_norm': 9.254488945007324, '0_w_mean': -1.3184265299059916e-05, '0_w_std': 0.020657410845160484, '0_w_max': 0.04327970743179321, '0_w_min': -0.04095033183693886, '0_g_norm': 0.3336130976676941, '0_g_mean': 1.580567732162308e-05, '0_g_std': 0.0007445061928592622, '1_w_norm': 1.9131460189819336, '1_w_mean': 0.0011693040141835809, '1_w_std': 0.037801168859004974, '1_w_max': 0.0920480340719223, '1_w_min': -0.07699502259492874, '1_g_norm': 0.21639437973499298, '1_g_mean': 6.421032455738995e-11, '1_g_std': 0.00427770521491766}
{'0_w_norm': 9.256255149841309, '0_w_mean': -1.3861025763617363e-05, '0_w_std': 0.020661355927586555, '0_w_max': 0.043568238615989685, '0_w_min': -0.04129171743988991, '0_g_norm': 0.4526943564414978, '0_g_mean': 1.2482489182730205e-05, '0_g_std': 0.0010104038519784808, '1_w_norm': 1.9216548204421997, '1_w_mean': 0.0011693040141835809, '1_w_std': 0.037969451397657394, '1_w_max': 0.09395886212587357, '1_w_min': -0.0777922123670578, '1_g_norm': 0.3118622303009033, '1_g_mean': 1.1668817301302425e-10, '1_g_std': 0.006164922844618559}
{'0_w_norm': 9.258201599121094, '0_w_mean': -1.358299414278008e-05, '0_w_std': 0.02066570334136486, '0_w_max': 0.04401635378599167, '0_w_min': -0.04159117117524147, '0_g_norm': 0.4239025115966797, '0_g_mean': 3.061227062062244e-06, '0_g_std': 0.0009462084271945059, '1_w_norm': 1.930992841720581, '1_w_mean': 0.0011693040141835809, '1_w_std': 0.038154132664203644, '1_w_max': 0.09680822491645813, '1_w_min': -0.07866930961608887, '1_g_norm': 0.26535817980766296, '1_g_mean': -4.96584093290231e-11, '1_g_std': 0.005245625972747803}
